publication_number,title,abstract,filing_date,publication_date,patent_text
US-2021272195-A1,Instant Lending Decisions,"A method including training a machine learning algorithm by iteratively adjusting, by a computer processor, adjusted matching parameters to increase a correlation between approval statistics of lending decisions and risk profiles. The risk profiles represent probabilities of businesses defaulting on a loan. The probabilities are derived from usage statistics of a business management application (BMA) used by the businesses. Iteratively adjusting continues until reaching a threshold correlation between the approval statistics and the lending decisions and the risk profiles. Training generates an updated machine learning algorithm. An updated risk score for a business entity is generated using a number of logins to the BMA made by the business entity.",20210518,20210902,"Instant Lending Decisions. A method including training a machine learning algorithm by iteratively adjusting, by a computer processor, adjusted matching parameters to increase a correlation between approval statistics of lending decisions and risk profiles. The risk profiles represent probabilities of businesses defaulting on a loan. The probabilities are derived from usage statistics of a business management application (BMA) used by the businesses. Iteratively adjusting continues until reaching a threshold correlation between the approval statistics and the lending decisions and the risk profiles. Training generates an updated machine learning algorithm. An updated risk score for a business entity is generated using a number of logins to the BMA made by the business entity."
US-2021314925-A1,"Method for transmitting uplink data by using preconfigured uplink resource in wireless communication system supporting narrowband internet of things system, and device therefor","According to one embodiment of the present invention, a method by which a terminal transmits uplink data by using a preconfigured uplink resource (PUR) in a wireless communication system supporting a narrowband Internet of Things (NB-IoT) system comprises the steps of: receiving information related to the PUR for transmitting uplink data in an RRC connected state; and transmitting the uplink data by using the PUR in an RRC idle state. The information related to the PUR includes information indicating a particular carrier for monitoring a first search space related to the PUR, and when the first search space overlaps a second search space in which downlink control information (DCI) related to a particular operation is transmitted, the second search space has priority.",20190809,20211007,"Method for transmitting uplink data by using preconfigured uplink resource in wireless communication system supporting narrowband internet of things system, and device therefor. According to one embodiment of the present invention, a method by which a terminal transmits uplink data by using a preconfigured uplink resource (PUR) in a wireless communication system supporting a narrowband Internet of Things (NB-IoT) system comprises the steps of: receiving information related to the PUR for transmitting uplink data in an RRC connected state; and transmitting the uplink data by using the PUR in an RRC idle state. The information related to the PUR includes information indicating a particular carrier for monitoring a first search space related to the PUR, and when the first search space overlaps a second search space in which downlink control information (DCI) related to a particular operation is transmitted, the second search space has priority."
US-2021329865-A1,Autonomous aircraft system for pollinating plants,"The systems and methods described herein relate to fully or partially autonomous or remotely operated aerial pollination vehicles that use computer vision and artificial intelligence to automatically detect plants, orient the vehicle to a pollen dispensing position above each plant, and pollinate the individual plants.",20210428,20211028,"Autonomous aircraft system for pollinating plants. The systems and methods described herein relate to fully or partially autonomous or remotely operated aerial pollination vehicles that use computer vision and artificial intelligence to automatically detect plants, orient the vehicle to a pollen dispensing position above each plant, and pollinate the individual plants."
US-2021392677-A1,Method and device for transmitting nprach preamble in narrowband iot system supporting frame structure type 2,"The present specification provides a method for transmitting a narrowband physical random access channel (NPRACH) preamble in a narrow band (NB)-Internet of things (IoT) system supporting a frame structure type 2. More specifically, the method performed by a user equipment includes receiving, from a base station, control information related to an uplink-downlink configuration; and transmitting, to the base station, the NPRACH preamble based on parameters related to a NPRACH preamble transmission related to the received control information.",20210805,20211216,"Method and device for transmitting nprach preamble in narrowband iot system supporting frame structure type 2. The present specification provides a method for transmitting a narrowband physical random access channel (NPRACH) preamble in a narrow band (NB)-Internet of things (IoT) system supporting a frame structure type 2. More specifically, the method performed by a user equipment includes receiving, from a base station, control information related to an uplink-downlink configuration; and transmitting, to the base station, the NPRACH preamble based on parameters related to a NPRACH preamble transmission related to the received control information."
US-2022050450-A1,System and method for predicting shock absorber lifespan,A shock absorber system may include at least one sensor that is configured to measure an operating parameter of the shock absorber during operation of the shock. The system may be configured to determine Time-Through-Stroke (TTS) and/or Rod Return Time (RRT) utilizing data from the sensor or sensors. The system may be configured to utilize machine learning to detect and/or predict a failure of the shock absorber.,20210812,20220217,System and method for predicting shock absorber lifespan. A shock absorber system may include at least one sensor that is configured to measure an operating parameter of the shock absorber during operation of the shock. The system may be configured to determine Time-Through-Stroke (TTS) and/or Rod Return Time (RRT) utilizing data from the sensor or sensors. The system may be configured to utilize machine learning to detect and/or predict a failure of the shock absorber.
US-2022061710-A1,Virtually monitoring glucose levels in a patient using machine learning and digital twin technology,"A patient health management platform implements a machine-learned metabolic model to generate a prediction of a patient&#39;s glucose level. The platform implements a short-term prediction model to generate a daily prediction of the patient&#39;s glucose level based on nutrition data reported by the patient and sensor data and lab test data collected for the patient. The platform implements a long-term prediction model generate a prediction of the patient&#39;s glucose level during an extended time period based on sensor data and lab test data collected for the patient. Using the short-term prediction model, the long-term prediction model, or both, the patient health management platform generates predictions of the patient&#39;s glucose level and updates a digital twin of the patient&#39;s metabolic profile.",20210428,20220303,"Virtually monitoring glucose levels in a patient using machine learning and digital twin technology. A patient health management platform implements a machine-learned metabolic model to generate a prediction of a patient&#39;s glucose level. The platform implements a short-term prediction model to generate a daily prediction of the patient&#39;s glucose level based on nutrition data reported by the patient and sensor data and lab test data collected for the patient. The platform implements a long-term prediction model generate a prediction of the patient&#39;s glucose level during an extended time period based on sensor data and lab test data collected for the patient. Using the short-term prediction model, the long-term prediction model, or both, the patient health management platform generates predictions of the patient&#39;s glucose level and updates a digital twin of the patient&#39;s metabolic profile."
US-2022091735-A1,Recognition and processing of gestures in a graphical user interface using machine learning,"In an embodiment, a computer-implemented method comprises: displaying a particular view of a plurality of views of a continuous content stream of individually actionable content items; wherein the plurality of views, each including a different subset of the individually actionable content items, responds to different sets of signaling gestures; automatically recognizing, while the continuous content stream is being displayed, a mode change from a control mode to a signal mode in the particular view of the plurality of views; receiving a touch input in the particular view of the plurality of views and, in response, generating output data indicating a signaling gesture classification that is accepted by the particular view and is for the touch input; updating, according to the output data, the particular view of the plurality of views; wherein the method is performed by one or more computing devices.",20211203,20220324,"Recognition and processing of gestures in a graphical user interface using machine learning. In an embodiment, a computer-implemented method comprises: displaying a particular view of a plurality of views of a continuous content stream of individually actionable content items; wherein the plurality of views, each including a different subset of the individually actionable content items, responds to different sets of signaling gestures; automatically recognizing, while the continuous content stream is being displayed, a mode change from a control mode to a signal mode in the particular view of the plurality of views; receiving a touch input in the particular view of the plurality of views and, in response, generating output data indicating a signaling gesture classification that is accepted by the particular view and is for the touch input; updating, according to the output data, the particular view of the plurality of views; wherein the method is performed by one or more computing devices."
US-2022102000-A1,Predicting blood metabolites,"A method of predicting the quantity of a metabolite in the blood of a subject, accesses a computer readable medium storing a library of trained machine learning procedures, searches the library for a trained machine learning procedure associated with the metabolite, feeds the selected procedure with amount of a plurality of microbes of a microbiome of the subject, and receives from the selected procedure an output indicative of the quantity of the metabolite in the blood.",20200130,20220331,"Predicting blood metabolites. A method of predicting the quantity of a metabolite in the blood of a subject, accesses a computer readable medium storing a library of trained machine learning procedures, searches the library for a trained machine learning procedure associated with the metabolite, feeds the selected procedure with amount of a plurality of microbes of a microbiome of the subject, and receives from the selected procedure an output indicative of the quantity of the metabolite in the blood."
US-2022108495-A1,System for immersive deep learning in a virtual reality environment,"Systems, computer program products, and methods are described herein for immersive deep learning in a virtual reality environment. The present invention is configured to electronically receive, via the extended reality platform, an image of a financial resource; electronically receive, via the extended reality platform, a first user input selecting a machine learning model type; electronically receive, via the extended reality platform, a second user input selecting one or more interaction options; initiate a machine learning model on the image; extract, using the machine learning model, one or more features associated with the image; generate, using the saliency map generator, a saliency map for the image by superimposing the one or more features on the image; and transmit control signals configured to cause the computing device associated with the user to display, via the extended reality platform, the saliency map associated with the image",20201001,20220407,"System for immersive deep learning in a virtual reality environment. Systems, computer program products, and methods are described herein for immersive deep learning in a virtual reality environment. The present invention is configured to electronically receive, via the extended reality platform, an image of a financial resource; electronically receive, via the extended reality platform, a first user input selecting a machine learning model type; electronically receive, via the extended reality platform, a second user input selecting one or more interaction options; initiate a machine learning model on the image; extract, using the machine learning model, one or more features associated with the image; generate, using the saliency map generator, a saliency map for the image by superimposing the one or more features on the image; and transmit control signals configured to cause the computing device associated with the user to display, via the extended reality platform, the saliency map associated with the image"
US-2022156516-A1,Electronic device configured to process image data for training artificial intelligence system,"The present disclosure includes a reception circuit and a processor. The reception circuit receives input image data comprised of pixels. The processor is configured to perform at least one of a first operation of adjusting pixel values of first object pixels selected from the pixels on the basis of noise data, a second operation of adjusting pixel values of second object pixels selected on the basis of the number of pixels, a third operation of generalizing the input image data on the basis of coordinate values of inflection pixels determined on the basis of gradients between coordinate values of the pixels, and a fourth operation of obtaining input image data having pixel values in a second range by adjusting pixel values of input image data having pixel values in the first range.",20211104,20220519,"Electronic device configured to process image data for training artificial intelligence system. The present disclosure includes a reception circuit and a processor. The reception circuit receives input image data comprised of pixels. The processor is configured to perform at least one of a first operation of adjusting pixel values of first object pixels selected from the pixels on the basis of noise data, a second operation of adjusting pixel values of second object pixels selected on the basis of the number of pixels, a third operation of generalizing the input image data on the basis of coordinate values of inflection pixels determined on the basis of gradients between coordinate values of the pixels, and a fourth operation of obtaining input image data having pixel values in a second range by adjusting pixel values of input image data having pixel values in the first range."
US-2023355112-A1,Methods for monitoring blood pressure of a person that utilizes velocity and pulse wave signal information,"Methods for monitoring blood pressure of a person are disclosed. In an embodiment, a method involves receiving velocity data that is generated from electromagnetic energy that has reflected from below the skin surface of a person, receiving pulse wave data that is generated from electromagnetic energy that has reflected from below the skin surface of a person, applying the velocity data and the pulse wave data to a machine learning engine that includes a trained model, and outputting from the machine learning engine an indication of the blood pressure of the person in response to the velocity data and the pulse wave data.",20220509,20231109,"Methods for monitoring blood pressure of a person that utilizes velocity and pulse wave signal information. Methods for monitoring blood pressure of a person are disclosed. In an embodiment, a method involves receiving velocity data that is generated from electromagnetic energy that has reflected from below the skin surface of a person, receiving pulse wave data that is generated from electromagnetic energy that has reflected from below the skin surface of a person, applying the velocity data and the pulse wave data to a machine learning engine that includes a trained model, and outputting from the machine learning engine an indication of the blood pressure of the person in response to the velocity data and the pulse wave data."
US-2024007536-A1,Method and device for supporting edge computing in virtual radio access network,"The disclosure relates to a communication technique and system that fuse 5th generation (5G) or pre-5G communication system with Internet of things (IoT) technology to support higher data transfer rate after 4th generation (4G) communication system, such as long term evolution (LTE). The disclosure applies to intelligent services (e.g., a smart home, a smart building, a smart city, a smart car or a connected car, healthcare, digital education, retail, security and safety related services, and the like) based on 5G communication technology and IoT related technology. A method and a device for supporting edge computing in a virtual radio access network are provided.",20230914,20240104,"Method and device for supporting edge computing in virtual radio access network. The disclosure relates to a communication technique and system that fuse 5th generation (5G) or pre-5G communication system with Internet of things (IoT) technology to support higher data transfer rate after 4th generation (4G) communication system, such as long term evolution (LTE). The disclosure applies to intelligent services (e.g., a smart home, a smart building, a smart city, a smart car or a connected car, healthcare, digital education, retail, security and safety related services, and the like) based on 5G communication technology and IoT related technology. A method and a device for supporting edge computing in a virtual radio access network are provided."
US-2024293479-A1,Production of a probiotic composition,"Provided is a method of producing a freeze-dried probiotic composition as well as a method of producing a probiotic raw material which involves culturing of a  Streptococcus salivarius  strain. Furthermore, a corresponding probiotic composition and a corresponding probiotic raw material is provided.",20240301,20240905,"Production of a probiotic composition. Provided is a method of producing a freeze-dried probiotic composition as well as a method of producing a probiotic raw material which involves culturing of a  Streptococcus salivarius  strain. Furthermore, a corresponding probiotic composition and a corresponding probiotic raw material is provided."
US-2024317843-A1,Methods and Compositions of Thermostabilized Single Domain Antibodies,"Described herein are single domain antibodies (sdAbs) with improved thermostability and methods for the design thereof using a machine learning model (LIME). LIME predicted thermostabilizing mutations were tested in four sets of sequence-related single domain antibodies (sdAb) having binding activity against Staphylococcal Enterotoxin B, 12 sdAb in total. The mutations were restricted to the constant regions. Two sets of interacting residues were consistently predicted. The first set was in the core of three variants, A7D, with W37R or W37H; these were predicted to form a salt bridge. The second predicted set of, interacting residues was on the surface and created a network of hydrogen bonds involving P22T with S8T accompanied by Q6S. Six mutations were common to all four sets: Q6S, A7D, S8T, (R/Q/E)14R, S18R, and P22T.",20240319,20240926,"Methods and Compositions of Thermostabilized Single Domain Antibodies. Described herein are single domain antibodies (sdAbs) with improved thermostability and methods for the design thereof using a machine learning model (LIME). LIME predicted thermostabilizing mutations were tested in four sets of sequence-related single domain antibodies (sdAb) having binding activity against Staphylococcal Enterotoxin B, 12 sdAb in total. The mutations were restricted to the constant regions. Two sets of interacting residues were consistently predicted. The first set was in the core of three variants, A7D, with W37R or W37H; these were predicted to form a salt bridge. The second predicted set of, interacting residues was on the surface and created a network of hydrogen bonds involving P22T with S8T accompanied by Q6S. Six mutations were common to all four sets: Q6S, A7D, S8T, (R/Q/E)14R, S18R, and P22T."
US-2024321265-A1,Audio signal processing device and method for synchronizing speech and text by using machine learning model,"Disclosed is an audio signal processing device for synchronizing an audio signal and text with a speech signal, the audio signal including speech and the text corresponding to the speech. A processor of the audio signal processing device obtains first audio pronunciation information corresponding to the speech, the first audio pronunciation information being divided with regard to multiple frames included in the audio signal, and obtains first text pronunciation information corresponding to the text, the first text pronunciation information being divided with regard to multiple segments. The processor obtains information indicating a correlation between second audio pronunciation information, which is a feature extracted from each of the multiple frames of the first audio pronunciation information, and second text pronunciation information, which is a feature extracted from each of the multiple segments of the first text pronunciation information, and synchronizes the text with the speech signal according to the information indicating the correlation.",20240322,20240926,"Audio signal processing device and method for synchronizing speech and text by using machine learning model. Disclosed is an audio signal processing device for synchronizing an audio signal and text with a speech signal, the audio signal including speech and the text corresponding to the speech. A processor of the audio signal processing device obtains first audio pronunciation information corresponding to the speech, the first audio pronunciation information being divided with regard to multiple frames included in the audio signal, and obtains first text pronunciation information corresponding to the text, the first text pronunciation information being divided with regard to multiple segments. The processor obtains information indicating a correlation between second audio pronunciation information, which is a feature extracted from each of the multiple frames of the first audio pronunciation information, and second text pronunciation information, which is a feature extracted from each of the multiple segments of the first text pronunciation information, and synchronizes the text with the speech signal according to the information indicating the correlation."
US-2020341094-A1,Multi-contrast mri image reconstruction using machine learning,"A computer-implemented method for reconstructing a MRI image, including: receiving a plurality of MRI measurement data sets f1 to fN, wherein each data set is acquired from an examination object based on a different MRI protocol of an MRI system; receiving MRI images u10 to uN0 corresponding to the MRI measurement data sets f1 to fN; applying, in at least a first step GD1, trained functions to the MRI images u10 to uN0, using a neural network and a forward-sampling operator, wherein at least one output MRI image uT is generated; and providing the at least one output MRI image uT, wherein the forward-sampling operator determines an agreement between at least one MRI image u10 to uN0 and the corresponding MRI measurement data set f1 to fN.",20200424,20201029,"Multi-contrast mri image reconstruction using machine learning. A computer-implemented method for reconstructing a MRI image, including: receiving a plurality of MRI measurement data sets f1 to fN, wherein each data set is acquired from an examination object based on a different MRI protocol of an MRI system; receiving MRI images u10 to uN0 corresponding to the MRI measurement data sets f1 to fN; applying, in at least a first step GD1, trained functions to the MRI images u10 to uN0, using a neural network and a forward-sampling operator, wherein at least one output MRI image uT is generated; and providing the at least one output MRI image uT, wherein the forward-sampling operator determines an agreement between at least one MRI image u10 to uN0 and the corresponding MRI measurement data set f1 to fN."
US-2021049996-A1,Voice recognition method using artificial intelligence and apparatus thereof,Disclosed is a voice recognition method and apparatus using artificial intelligence. A voice recognition method using artificial intelligence may include: generating a utterance by receiving a voice command of a user; obtaining a user&#39;s intention by analyzing the generated utterance; deriving an urgency level of the user on the basis of the generated utterance and prestored user information; generating a first response in association with the user&#39;s intention; obtaining main vocabularies included in the first response; generating a second response by using the main vocabularies and the urgency level of the user; determining a speech rate of the second response on the basis of the urgency level of the user; and outputting the second response according to the speech rate by synthesizing the second response to a voice signal.,20200729,20210218,Voice recognition method using artificial intelligence and apparatus thereof. Disclosed is a voice recognition method and apparatus using artificial intelligence. A voice recognition method using artificial intelligence may include: generating a utterance by receiving a voice command of a user; obtaining a user&#39;s intention by analyzing the generated utterance; deriving an urgency level of the user on the basis of the generated utterance and prestored user information; generating a first response in association with the user&#39;s intention; obtaining main vocabularies included in the first response; generating a second response by using the main vocabularies and the urgency level of the user; determining a speech rate of the second response on the basis of the urgency level of the user; and outputting the second response according to the speech rate by synthesizing the second response to a voice signal.
US-2021183520-A1,Machine learning based health outcome recommendation engine,"A health outcome recommendation engine trains a machine-learned model using a training set of information that includes health characteristics, actions, environments, and health outcomes associated with training users. The health outcome recommendation engine applies the trained machine-learned model to health characteristics, actions, an environment, and health goals of a user. The machine-learned model identifies actions that, if taken by the user, increase a likelihood of the user achieving the health goals. The health outcome recommendation engine presents the actions to the user via an interface of a client device.",20200722,20210617,"Machine learning based health outcome recommendation engine. A health outcome recommendation engine trains a machine-learned model using a training set of information that includes health characteristics, actions, environments, and health outcomes associated with training users. The health outcome recommendation engine applies the trained machine-learned model to health characteristics, actions, an environment, and health goals of a user. The machine-learned model identifies actions that, if taken by the user, increase a likelihood of the user achieving the health goals. The health outcome recommendation engine presents the actions to the user via an interface of a client device."
US-2021194926-A1,Intelligent-interaction honeypot for iot devices,"Techniques for providing an intelligent-interaction honeypot for IoT devices in accordance with some embodiments. In some embodiments, a system/process/computer program product for providing an intelligent-interaction honeypot for IoT devices includes receiving a request from an attacker sent to an IP address that is associated with a honeypot instance for Internet of Things (IoT) devices; determining a response to the request using a data store that stores a plurality of responses and associated IoT device information, wherein the plurality of responses and associated IoT device information is generated based on automated machine learning of active probing of physical IoT devices on the Internet; and sending the response from the honeypot instance for IoT devices to the attacker, wherein the attacker is unable to detect that the response is associated with an emulated IoT device.",20210228,20210624,"Intelligent-interaction honeypot for iot devices. Techniques for providing an intelligent-interaction honeypot for IoT devices in accordance with some embodiments. In some embodiments, a system/process/computer program product for providing an intelligent-interaction honeypot for IoT devices includes receiving a request from an attacker sent to an IP address that is associated with a honeypot instance for Internet of Things (IoT) devices; determining a response to the request using a data store that stores a plurality of responses and associated IoT device information, wherein the plurality of responses and associated IoT device information is generated based on automated machine learning of active probing of physical IoT devices on the Internet; and sending the response from the honeypot instance for IoT devices to the attacker, wherein the attacker is unable to detect that the response is associated with an emulated IoT device."
