patent_id,title,abstract,description,country,cpc,cpc_low,cpc_inventive_low,top_terms,url,claims,publication_date,filing_date,priority_date,family_id,applicant,inventors,source,source_status
NO-20004766-L,Method and apparatus for improving the performance of a power balance accelerometer based on a single coil velocity geophone,,Abstract,Norway,G01P15/132; G01P15/132,G01P15/132; G01P15/13; G01P15/08; G01P15/02; G01P15/00; G01P; G01; G,G01P15/132; G01P15/13; G01P15/08; G01P15/02; G01P15/00; G01P; G01; G,improving; performance; single coil; power balance; accelerometer based; balance accelerometer; coil velocity; velocity geophone; geophone; power,https://patents.google.com/patent/NO20004766L,,,,,,,,Google Patents Public Data,LIVE_DATASET
NO-20005175-L,Method and high-capacity arrangement for producing fire-extinguishing foam and device for expansion and spreading of foam,"Method for producing fire fighting foam using a composition is prepared consisting of foaming agent, water and gaseous medium. The composition is prepared via dissolving or emulsifying the components in one another under overpressure, the composition prepared this way is stored under overpressure at the required place for the required period of time, transported if necessary maintaining the overpressure, and it is expanded via decompressing it on the spot and at the time of application. The apparatus for producing the fire fighting foam comprises a high-pressure foam source (10), a foam expanding spreading device (60) and a pressure resistant pipeline (40) connecting the high-pressure foam source (10) with the foam expanding spreading device (60). A foam expanding spreading device comprises an admission opening and a discharge mouth, a tubular distributing body (63) suitably forming a closed loop of tubes, preferably of torus shape, the discharge mouth, suitably a slit (65) or a set of holes, is situated on the nappe of the tube along its length, preferably along its generating line.",Abstract,Norway,A62C5/02; A62C3/065,A62C5/02; A62C5/00; A62C; A62; A; A62C3/065; A62C3/06; A62C3/00,A62C5/02; A62C5/00; A62C; A62; A; A62C3/065; A62C3/06; A62C3/00,foam; spreading device; composition; prepared; producing; pressure; overpressure; fire fighting; expanding spreading; discharge mouth,https://patents.google.com/patent/NO20005175L,,,,,,,,Google Patents Public Data,LIVE_DATASET
NO-20005629-L,A communication or IP network that includes a packet classifier,,Abstract,Norway,H04L47/2441; H04L47/2441; H04L47/50; H04L69/22; H04L69/161; H04L69/16; H04L65/80; H04L63/0227; H04L47/6215; H04L49/901; H04L61/00,H04L47/2441; H04L47/24; H04L47/10; H04L47/00; H04L; H04; H; H04L47/50; H04L69/22; H04L69/00; H04L69/161; H04L69/16; H04L65/80; H04L65/00; H04L63/0227; H04L63/02; H04L63/00; H04L47/6215; H04L47/62; H04L49/901; H04L49/90; H04L49/00; H04L61/00,H04L47/2441; H04L47/24; H04L47/10; H04L47/00; H04L; H04; H; H04L47/50; H04L69/22; H04L69/00; H04L69/161; H04L69/16; H04L65/80; H04L65/00; H04L63/0227; H04L63/02; H04L63/00; H04L47/6215; H04L47/62; H04L49/901; H04L49/90; H04L49/00; H04L61/00,network; communication; packet classifier; classifier; packet,https://patents.google.com/patent/NO20005629L,,,,,,,,Google Patents Public Data,LIVE_DATASET
NO-20010006-L,Powder coating material,"Powder coating compositions incorporate, by dry blending, a wax-coated silica additive in finely divided form. Further additives that may be incorporated by dry blending include aluminum oxide and/or aluminum hydroxide. The compositions offer advantages, for example, in terms of fluidity and in terms of first-time deposition of fine particles.",Abstract,Norway,C09D5/033; C09D5/033; C09D5/033; C08K2003/2227; C08K3/36,C09D5/033; C09D5/03; C09D5/00; C09D; C09; C; C08K2003/2227; C08K3/22; C08K3/20; C08K3/18; C08K3/00; C08K; C08; C08K3/36; C08K3/34,C09D5/033; C09D5/03; C09D5/00; C09D; C09; C; C08K2003/2227; C08K3/22; C08K3/20; C08K3/18; C08K3/00; C08K; C08; C08K3/36; C08K3/34,powder coating; coating material; terms; dry blending; fluidity; wax; incorporated; fine particles; finely divided; further additives,https://patents.google.com/patent/NO20010006L,,,,,,,,Google Patents Public Data,LIVE_DATASET
NO-20011830-L,Two-chamber cartridge for atomizer,,Abstract,Norway,A61P43/00; A61P37/08; A61P5/38; A61P11/06; A61M15/0036; A61M15/0065; A61M2202/064; A61K9/0078; A61M15/0033; A61M15/0065; A61K9/0078; A61M2202/064; A61M15/0036; A61M15/0033,A61P43/00; A61P; A61; A; A61P37/08; A61P37/00; A61P5/38; A61P5/00; A61P11/06; A61P11/00; A61M15/0036; A61M15/0035; A61M15/0033; A61M15/003; A61M15/0028; A61M15/00; A61M; A61M15/0065; A61M2202/064; A61M2202/06; A61M2202/00; A61K9/0078; A61K9/0073; A61K9/007; A61K9/0012; A61K9/00; A61K,A61P43/00; A61P; A61; A; A61P37/08; A61P37/00; A61P5/38; A61P5/00; A61P11/06; A61P11/00; A61M15/0036; A61M15/0035; A61M15/0033; A61M15/003; A61M15/0028; A61M15/00; A61M; A61M15/0065; A61M2202/064; A61M2202/06; A61M2202/00; A61K9/0078; A61K9/0073; A61K9/007; A61K9/0012; A61K9/00; A61K,atomizer; chamber cartridge; cartridge; chamber,https://patents.google.com/patent/NO20011830L,,,,,,,,Google Patents Public Data,LIVE_DATASET
NO-20012377-L,Distributed machine structure for ships,,Abstract,Norway,Y02T70/00; B63B11/00; B63B11/00,Y02T70/00; Y02T; Y02; Y; B63B11/00; B63B; B63; B,Y02T70/00; Y02T; Y02; Y; B63B11/00; B63B; B63; B,ships; machine structure; distributed machine; distributed; machine,https://patents.google.com/patent/NO20012377L,,,,,,,,Google Patents Public Data,LIVE_DATASET
NO-20014116-L,Apparatus and method for driving a data sensing apparatus into a subway formation,"An apparatus and method are provided for deploying a data sensing apparatus into a subsurface geologic formation for intermittent or continuously gathering data from the subsurface formation and transmitting the data to a remote data receiver. In a preferred embodiment, a non-linear arrangement of a barrel and a burn chamber is used to provide a gun-like device for firing a bullet-shaped data sensing apparatus into a formation of interest. The data sensing apparatus, once disposed within the matrix of the formation of interest, monitors formation conditions and transmits the data for use in optimizing drilling and production activities. &lt;IMAGE&gt;",Abstract,Norway,E21B47/01; E21B43/116; E21B49/00; E21B43/116; E21B49/00; E21B47/01,E21B47/01; E21B47/00; E21B; E21; E; E21B43/116; E21B43/11; E21B43/00; E21B49/00,E21B47/01; E21B47/00; E21B; E21; E; E21B43/116; E21B43/11; E21B43/00; E21B49/00,formation; data; sensing apparatus; data sensing; subway; driving; interest; subsurface; deploying; bullet,https://patents.google.com/patent/NO20014116L,,,,,,,,Google Patents Public Data,LIVE_DATASET
NO-20021538-L,Methods for the preparation of cloned and transgenic mammals,"The invention features a method of promoting the development of a pre-natal non-human mammal. The method includes: forming a reconstructed embryo in association with at least one extra embryonic cell, e.g., a tetraploid cell; transferring the reconstructed embryo into a recipient mammal; and allowing the embryo to develop, to thereby promote development of the mammal.",Abstract,Norway,C12N15/873; C12N15/00,C12N15/873; C12N15/87; C12N15/09; C12N15/00; C12N; C12; C,C12N15/873; C12N15/87; C12N15/09; C12N15/00; C12N; C12; C,cloned; preparation; methods; transgenic mammals; mammal; embryo; development; cell; reconstructed embryo; promoting,https://patents.google.com/patent/NO20021538L,,,,,,,,Google Patents Public Data,LIVE_DATASET
NO-20022172-L,Use of base station antennas without band limitation,,Abstract,Norway,H01Q23/00; H01Q1/246; H04W88/08; H01Q21/30; H04W88/08; H01Q1/246; H01Q23/00; H01Q21/30,H01Q23/00; H01Q; H01; H; H01Q1/246; H01Q1/241; H01Q1/24; H01Q1/22; H01Q1/12; H01Q1/00; H04W88/08; H04W88/00; H04W; H04; H01Q21/30; H01Q21/00,H01Q23/00; H01Q; H01; H; H01Q1/246; H01Q1/241; H01Q1/24; H01Q1/22; H01Q1/12; H01Q1/00; H04W88/08; H04W88/00; H04W; H04; H01Q21/30; H01Q21/00,base station; station antennas; band limitation; antennas; limitation; band; base; station,https://patents.google.com/patent/NO20022172L,,,,,,,,Google Patents Public Data,LIVE_DATASET
NO-20024919-L,Hydrophilic / lipophilic polymer matrix dosage formulation,,Abstract,Norway,A61P7/12; A61P39/00; A61P9/06; A61P9/12; A61P7/10; A61P9/08; A61P9/00; A61P9/04; A61K9/2886; A61K31/5377; A61P25/28; A61K31/506; A61K9/2086; A61K9/209; A61P25/16; A61P25/02; A61K31/404; A61P25/00; A61K31/4045; A61K31/404; A61K9/209; A61K31/506; A61K9/2886; A61K9/2086; A61K31/5377; A61K31/4045; A61K9/209,A61P7/12; A61P7/00; A61P; A61; A; A61P39/00; A61P9/06; A61P9/00; A61P9/12; A61P7/10; A61P9/08; A61P9/04; A61K9/2886; A61K9/28; A61K9/20; A61K9/00; A61K; A61K31/5377; A61K31/5375; A61K31/535; A61K31/395; A61K31/33; A61K31/00; A61P25/28; A61P25/00; A61K31/506; A61K31/505; A61K31/495; A61K9/2086; A61K9/2072; A61K9/209; A61P25/16; A61P25/14; A61P25/02; A61K31/404; A61K31/403; A61K31/40; A61K31/4045,A61P7/12; A61P7/00; A61P; A61; A; A61P39/00; A61P9/06; A61P9/00; A61P9/12; A61P7/10; A61P9/08; A61P9/04; A61K9/2886; A61K9/28; A61K9/20; A61K9/00; A61K; A61K31/5377; A61K31/5375; A61K31/535; A61K31/395; A61K31/33; A61K31/00; A61P25/28; A61P25/00; A61K31/506; A61K31/505; A61K31/495; A61K9/2086; A61K9/2072; A61K9/209; A61P25/16; A61P25/14; A61P25/02; A61K31/404; A61K31/403; A61K31/40; A61K31/4045,hydrophilic; polymer matrix; dosage formulation; lipophilic polymer; matrix dosage; lipophilic; formulation; polymer; matrix; dosage,https://patents.google.com/patent/NO20024919L,,,,,,,,Google Patents Public Data,LIVE_DATASET
NO-20026169-L,Coating composition which cures at ambient temperature,,Abstract,Norway,C09D143/04; C09D201/10; C09D183/04; C09D201/10; C09D143/04; C09D183/04; C09D183/04,C09D143/04; C09D143/00; C09D; C09; C; C09D201/10; C09D201/02; C09D201/00; C09D183/04; C09D183/00,C09D143/04; C09D143/00; C09D; C09; C; C09D201/10; C09D201/02; C09D201/00; C09D183/04; C09D183/00,cures; ambient temperature; coating composition; coating; ambient; composition; temperature,https://patents.google.com/patent/NO20026169L,,,,,,,,Google Patents Public Data,LIVE_DATASET
NO-20031873-L,Acid neutralizing and laxative tablet,"An antacid and laxative tablet comprising magnesium oxide particles as an effective component, wherein  (i) the magnesium oxide particles contained in the tablet have an average secondary particle diameter measured by a laser diffraction scattering method of 0.5 to 10  mu m, (ii) the content of magnesium oxide particles in the tablet is 88 wt% or more, (iii) the tablet does not become blackish and has substantially no tableting spot, and (iv) the disintegration time is 10 sec or less.  &lt;??&gt;The antacid and laxative tablet of the present invention has a high content of magnesium oxide particles, a short disintegration time, does not become blackish, has no tablet trouble and no tableting spot and is suitably administered orally.",Abstract,Norway,A61P1/04; A61K9/2054; A61K9/2059; A61P1/10; A61K33/08; A61K9/2013; A61K9/0056; A61K9/20; A61K9/2059; A61K9/2013; A61K9/2054; A61K9/0056; A61K33/08,A61P1/04; A61P1/00; A61P; A61; A; A61K9/2054; A61K9/205; A61K9/2022; A61K9/2004; A61K9/20; A61K9/00; A61K; A61K9/2059; A61P1/10; A61K33/08; A61K33/06; A61K33/00; A61K9/2013; A61K9/0056; A61K9/0053; A61K9/0012,A61P1/04; A61P1/00; A61P; A61; A; A61K9/2054; A61K9/205; A61K9/2022; A61K9/2004; A61K9/20; A61K9/00; A61K; A61K9/2059; A61P1/10; A61K33/08; A61K33/06; A61K33/00; A61K9/2013; A61K9/0056; A61K9/0053; A61K9/0012,tablet; oxide particles; magnesium oxide; laxative; antacid; tableting; spot; disintegration time; acid neutralizing; laxative tablet,https://patents.google.com/patent/NO20031873L,,,,,,,,Google Patents Public Data,LIVE_DATASET
NO-20033503-L,Expandable polyolefin particles,"The invention relates to expandable polyolefin beads which comprise blowing agent and have been coated with from 0.01 to 3% by weight of a salt and/or ester of a long-chain fatty acid, preferably with calcium stearate, to prevent caking during foaming.",Abstract,Norway,C08J9/224; C08J2203/14; C08J2201/044; C08J9/26; C08J2323/02; C08J2323/02; C08J2203/14; C08J9/224; C08J2201/044; C08J9/224; C08J9/26,C08J9/224; C08J9/22; C08J9/00; C08J; C08; C; C08J2203/14; C08J2203/00; C08J2201/044; C08J2201/04; C08J2201/00; C08J9/26; C08J2323/02; C08J2323/00,C08J9/224; C08J9/22; C08J9/00; C08J; C08; C; C08J2203/14; C08J2203/00; C08J2201/044; C08J2201/04; C08J2201/00; C08J9/26; C08J2323/02; C08J2323/00,expandable polyolefin; polyolefin particles; expandable; ester; salt; coated; fatty acid; weight; long; blowing agent,https://patents.google.com/patent/NO20033503L,,,,,,,,Google Patents Public Data,LIVE_DATASET
NO-20034873-L,"Aerosol formulations containing esters of 3,17-dihydroxy degree stratriene derivatives for pulmonary delivery","The invention discloses formulations for administration with pressurized metered dose inhalers containing as active ingredient esters of 3,17-dihydroxy oestratriene derivatives, in solution in a hydrofluorocarbon propellant, optionally one or more co-solvents, and their use for the treatment of postmenopausal symptoms as well as of menstrual migraine headaches.",Abstract,Norway,A61K9/008; A61K47/10; A61P5/30; A61K31/565; A61K9/008; A61K47/10; A61K31/565,A61K9/008; A61K9/0073; A61K9/007; A61K9/0012; A61K9/00; A61K; A61; A; A61K47/10; A61K47/08; A61K47/06; A61K47/00; A61P5/30; A61P5/24; A61P5/00; A61P; A61K31/565; A61K31/56; A61K31/00,A61K9/008; A61K9/0073; A61K9/007; A61K9/0012; A61K9/00; A61K; A61; A; A61K47/10; A61K47/08; A61K47/06; A61K47/00; A61P5/30; A61P5/24; A61P5/00; A61P; A61K31/565; A61K31/56; A61K31/00,dihydroxy; derivatives; stratriene; degree; formulations containing; pulmonary delivery; aerosol formulations; containing esters; esters; administration,https://patents.google.com/patent/NO20034873L,,,,,,,,Google Patents Public Data,LIVE_DATASET
NO-20035173-L,TACI-immunoglobulinfusjonsproteiner,"Molecules that interfere with the binding of a tumor necrosis factor receptor with its ligand, such as a soluble receptor, have proven usefulness in both basic research and as therapeutics. The present invention provides improved soluble transmembrane activator and calcium modulator and cyclophilin ligand-interactor (TACI) receptors.",Abstract,Norway,A61P37/02; A61P7/00; A61P37/06; A61P3/10; A61P7/10; A61P37/00; A61P7/06; A61P9/00; A61P31/04; A61P35/00; A61P25/00; A61P35/02; A61P29/00; A61P21/04; C07K14/70578; A61K45/06; A61K39/3955; C07K2319/30; A61P11/06; A61K38/00; C07K2319/00; C07K2319/30; C07K2319/00; A61P19/02; A61P13/12; A61P11/00; C07K14/70578; C07K16/241; A61K38/00; A61P19/00; A61P17/06; A61K39/395; A61P1/00,A61P37/02; A61P37/00; A61P; A61; A; A61P7/00; A61P37/06; A61P3/10; A61P3/08; A61P3/00; A61P7/10; A61P7/06; A61P9/00; A61P31/04; A61P31/00; A61P35/00; A61P25/00; A61P35/02; A61P29/00; A61P21/04; A61P21/00; C07K14/70578; C07K14/705; C07K14/435; C07K14/00; C07K; C07; C; A61K45/06; A61K45/00; A61K; A61K39/3955; A61K39/39533; A61K39/395; A61K39/00; C07K2319/30; C07K2319/00; A61P11/06; A61P11/00; A61K38/00; A61P19/02; A61P19/00; A61P13/12; A61P13/00; C07K16/241; C07K16/24; C07K16/18; C07K16/00; A61P17/06; A61P17/00; A61P1/00,A61P37/02; A61P37/00; A61P; A61; A; A61P7/00; A61P37/06; A61P3/10; A61P3/08; A61P3/00; A61P7/10; A61P7/06; A61P9/00; A61P31/04; A61P31/00; A61P35/00; A61P25/00; A61P35/02; A61P29/00; A61P21/04; A61P21/00; C07K14/70578; C07K14/705; C07K14/435; C07K14/00; C07K; C07; C; A61K45/06; A61K45/00; A61K; A61K39/3955; A61K39/39533; A61K39/395; A61K39/00; C07K2319/30; C07K2319/00; A61P11/06; A61P11/00; A61K38/00; A61P19/02; A61P19/00; A61P13/12; A61P13/00; C07K16/241; C07K16/24; C07K16/18; C07K16/00; A61P17/06; A61P17/00; A61P1/00,taci; ligand; immunoglobulinfusjonsproteiner; soluble; receptor; interactor; therapeutics; receptors; interfere; molecules,https://patents.google.com/patent/NO20035173L,,,,,,,,Google Patents Public Data,LIVE_DATASET
NO-20035789-L,Expansion plug,,Abstract,Norway,F16B13/128; F16B13/12,F16B13/128; F16B13/12; F16B13/00; F16B; F16; F,F16B13/128; F16B13/12; F16B13/00; F16B; F16; F,expansion plug; plug; expansion,https://patents.google.com/patent/NO20035789L,,,,,,,,Google Patents Public Data,LIVE_DATASET
